t	V	n	m	h
10.4401	-64.5648	0.250984	0.0456061	0.685262
10.4501	-64.4802	0.251081	0.0460239	0.685139
10.4601	-64.3959	0.251181	0.0464458	0.685012
10.4701	-64.312	0.251284	0.0468715	0.684882
10.4801	-64.2283	0.251388	0.0473009	0.684748
10.4901	-64.1449	0.251495	0.0477342	0.684611
10.5001	-64.0619	0.251604	0.0481711	0.68447
10.5101	-63.9791	0.251716	0.0486116	0.684326
10.5201	-63.8967	0.25183	0.0490556	0.684178
10.5301	-63.8145	0.251946	0.0495032	0.684027
10.5401	-63.7327	0.252064	0.0499542	0.683873
10.5501	-63.6511	0.252185	0.0504086	0.683715
10.5601	-63.5698	0.252308	0.0508663	0.683553
10.5701	-63.4888	0.252433	0.0513274	0.683388
10.5801	-63.4081	0.252561	0.0517917	0.683219
10.5901	-63.3276	0.252691	0.0522593	0.683047
10.6001	-63.2475	0.252823	0.05273	0.682872
10.6101	-63.1676	0.252957	0.0532039	0.682693
10.6201	-63.0879	0.253093	0.0536809	0.68251
10.6301	-63.0086	0.253232	0.054161	0.682324
10.6401	-62.9295	0.253373	0.0546442	0.682135
10.6501	-62.8506	0.253516	0.0551304	0.681942
10.6601	-62.7721	0.253661	0.0556196	0.681745
10.6701	-62.6937	0.253808	0.0561118	0.681545
10.6801	-62.6157	0.253958	0.0566069	0.681342
10.6901	-62.5378	0.25411	0.057105	0.681135
10.7001	-62.4603	0.254264	0.057606	0.680924
10.7101	-62.3829	0.25442	0.0581099	0.68071
10.7201	-62.3058	0.254578	0.0586166	0.680493
10.7302	-62.229	0.254739	0.0591262	0.680272
10.7402	-62.1524	0.254902	0.0596387	0.680047
10.7502	-62.076	0.255066	0.0601539	0.679819
10.7602	-61.9998	0.255233	0.060672	0.679588
10.7702	-61.9238	0.255402	0.0611929	0.679353
10.7802	-61.8481	0.255574	0.0617165	0.679115
10.7902	-61.7726	0.255747	0.062243	0.678873
10.8002	-61.6973	0.255923	0.0627722	0.678627
10.8102	-61.6222	0.2561	0.0633041	0.678378
10.8202	-61.5474	0.25628	0.0638388	0.678126
10.8302	-61.4727	0.256462	0.0643763	0.67787
10.8402	-61.3982	0.256645	0.0649165	0.677611
10.8502	-61.3239	0.256831	0.0654594	0.677348
10.8602	-61.2498	0.25702	0.066005	0.677081
10.8702	-61.1759	0.25721	0.0665534	0.676811
10.8802	-61.1022	0.257402	0.0671044	0.676538
10.8902	-61.0287	0.257596	0.0676582	0.676261
10.9002	-60.9553	0.257793	0.0682147	0.67598
10.9102	-60.8821	0.257991	0.0687739	0.675696
10.9202	-60.8091	0.258192	0.0693359	0.675409
10.9302	-60.7363	0.258394	0.0699005	0.675118
10.9402	-60.6636	0.258599	0.0704679	0.674823
10.9502	-60.5911	0.258805	0.0710379	0.674525
10.9602	-60.5187	0.259014	0.0716107	0.674223
10.9702	-60.4465	0.259225	0.0721863	0.673918
10.9802	-60.3744	0.259438	0.0727645	0.673609
10.9902	-60.3025	0.259652	0.0733455	0.673297
11.0002	-60.2307	0.259869	0.0739293	0.672981
11.0102	-60.159	0.260088	0.0745158	0.672662
11.0202	-60.0875	0.260309	0.0751051	0.672339
11.0302	-60.0161	0.260532	0.0756971	0.672013
11.0402	-59.9448	0.260757	0.0762919	0.671682
11.0502	-59.8736	0.260983	0.0768896	0.671349
11.0602	-59.8026	0.261212	0.07749	0.671012
11.0702	-59.7316	0.261443	0.0780932	0.670671
11.0802	-59.6607	0.261676	0.0786993	0.670326
11.0902	-59.59	0.261911	0.0793083	0.669978
11.1002	-59.5193	0.262148	0.0799201	0.669627
11.1102	-59.4488	0.262387	0.0805347	0.669272
11.1202	-59.3783	0.262628	0.0811523	0.668913
11.1302	-59.3079	0.26287	0.0817728	0.66855
11.1402	-59.2375	0.263115	0.0823962	0.668184
11.1502	-59.1673	0.263362	0.0830226	0.667815
11.1602	-59.0971	0.263611	0.0836519	0.667442
11.1702	-59.0269	0.263862	0.0842843	0.667065
11.1802	-58.9568	0.264114	0.0849197	0.666684
11.1902	-58.8868	0.264369	0.0855581	0.6663
11.2002	-58.8168	0.264626	0.0861996	0.665912
11.2102	-58.7468	0.264884	0.0868441	0.66552
11.2202	-58.6769	0.265145	0.0874919	0.665125
11.2302	-58.607	0.265408	0.0881427	0.664726
11.2402	-58.5371	0.265672	0.0887968	0.664324
11.2502	-58.4672	0.265939	0.089454	0.663917
11.2602	-58.3973	0.266207	0.0901145	0.663507
11.2702	-58.3275	0.266478	0.0907783	0.663093
11.2802	-58.2576	0.26675	0.0914454	0.662676
11.2902	-58.1877	0.267024	0.0921158	0.662255
11.3002	-58.1179	0.267301	0.0927896	0.661829
11.3102	-58.0479	0.267579	0.0934669	0.661401
11.3202	-57.978	0.267859	0.0941476	0.660968
11.3302	-57.908	0.268142	0.0948318	0.660531
11.3402	-57.838	0.268426	0.0955195	0.660091
11.3502	-57.768	0.268712	0.0962109	0.659647
11.3602	-57.6978	0.269001	0.0969058	0.659199
11.3702	-57.6277	0.269291	0.0976045	0.658747
11.3802	-57.5574	0.269583	0.0983069	0.658292
11.3902	-57.4871	0.269877	0.099013	0.657832
11.4002	-57.4167	0.270173	0.099723	0.657369
11.4102	-57.3462	0.270471	0.100437	0.656901
11.4202	-57.2756	0.270772	0.101155	0.65643
11.4302	-57.2049	0.271074	0.101876	0.655955
11.4402	-57.1341	0.271378	0.102602	0.655475
11.4502	-57.0631	0.271684	0.103332	0.654992
11.4602	-56.9921	0.271992	0.104066	0.654505
11.4702	-56.9209	0.272303	0.104805	0.654014
11.4802	-56.8495	0.272615	0.105547	0.653518
11.4902	-56.778	0.272929	0.106294	0.653019
11.5002	-56.7064	0.273245	0.107046	0.652515
11.5102	-56.6345	0.273564	0.107801	0.652008
11.5202	-56.5625	0.273884	0.108562	0.651496
11.5302	-56.4903	0.274206	0.109327	0.65098
11.5402	-56.4179	0.274531	0.110097	0.65046
11.5502	-56.3453	0.274858	0.110872	0.649936
11.5602	-56.2724	0.275186	0.111651	0.649407
11.5702	-56.1994	0.275517	0.112436	0.648874
11.5802	-56.1261	0.27585	0.113225	0.648337
11.5902	-56.0525	0.276185	0.11402	0.647796
11.6002	-55.9787	0.276522	0.11482	0.64725
11.6102	-55.9046	0.276861	0.115625	0.6467
11.6202	-55.8302	0.277202	0.116436	0.646145
11.6302	-55.7556	0.277546	0.117252	0.645586
11.6402	-55.6806	0.277891	0.118074	0.645022
11.6502	-55.6053	0.278239	0.118902	0.644454
11.6602	-55.5297	0.278589	0.119736	0.643882
11.6702	-55.4538	0.278941	0.120575	0.643305
11.6802	-55.3775	0.279296	0.121421	0.642723
11.6902	-55.3008	0.279652	0.122272	0.642136
11.7002	-55.2237	0.280011	0.12313	0.641545
11.7102	-55.1463	0.280372	0.123995	0.640949
11.7202	-55.0684	0.280735	0.124866	0.640349
11.7302	-54.9902	0.281101	0.125744	0.639743
11.7402	-54.9114	0.281469	0.126629	0.639133
11.7502	-54.8323	0.281839	0.12752	0.638518
11.7602	-54.7526	0.282212	0.128419	0.637897
11.7702	-54.6725	0.282587	0.129325	0.637272
11.7802	-54.5919	0.282964	0.130239	0.636642
11.7902	-54.5108	0.283344	0.13116	0.636006
11.8002	-54.4291	0.283726	0.132089	0.635366
11.8102	-54.3469	0.28411	0.133026	0.63472
11.8202	-54.2641	0.284497	0.133971	0.634069
11.8302	-54.1807	0.284887	0.134924	0.633412
11.8402	-54.0968	0.285279	0.135886	0.63275
11.8502	-54.0121	0.285673	0.136856	0.632083
11.8602	-53.9269	0.28607	0.137835	0.63141
11.8702	-53.841	0.28647	0.138824	0.630732
11.8802	-53.7544	0.286872	0.139821	0.630048
11.8902	-53.667	0.287277	0.140829	0.629358
11.9002	-53.579	0.287684	0.141845	0.628662
11.9102	-53.4902	0.288095	0.142872	0.627961
11.9202	-53.4006	0.288508	0.143909	0.627253
11.9302	-53.3102	0.288923	0.144957	0.62654
11.9402	-53.219	0.289342	0.146015	0.62582
11.9502	-53.1269	0.289763	0.147084	0.625094
11.9602	-53.0339	0.290187	0.148164	0.624362
11.9702	-52.9401	0.290614	0.149256	0.623623
11.9802	-52.8453	0.291044	0.150359	0.622878
11.9902	-52.7495	0.291477	0.151475	0.622127
12.0002	-52.6527	0.291913	0.152603	0.621369
12.0102	-52.5549	0.292352	0.153743	0.620604
12.0202	-52.456	0.292794	0.154897	0.619832
12.0302	-52.356	0.29324	0.156064	0.619053
12.0402	-52.2549	0.293688	0.157244	0.618267
12.0502	-52.1526	0.29414	0.158439	0.617473
12.0602	-52.0491	0.294595	0.159648	0.616673
12.0702	-51.9443	0.295053	0.160872	0.615864
12.0802	-51.8383	0.295515	0.162111	0.615049
12.0902	-51.7309	0.29598	0.163366	0.614225
12.1002	-51.6221	0.296449	0.164637	0.613393
12.1102	-51.512	0.296921	0.165924	0.612554
12.1202	-51.4003	0.297397	0.167229	0.611706
12.1302	-51.2872	0.297877	0.16855	0.61085
12.1402	-51.1725	0.29836	0.16989	0.609986
12.1502	-51.0561	0.298848	0.171248	0.609112
12.1602	-50.9382	0.299339	0.172625	0.60823
12.1702	-50.8184	0.299834	0.174021	0.607339
12.1802	-50.6969	0.300333	0.175438	0.606438
12.1902	-50.5736	0.300836	0.176875	0.605529
12.2002	-50.4483	0.301344	0.178333	0.604609
12.2102	-50.3211	0.301856	0.179814	0.60368
12.2202	-50.1918	0.302372	0.181316	0.60274
12.2302	-50.0604	0.302893	0.182842	0.60179
12.2402	-49.9269	0.303418	0.184392	0.60083
12.2502	-49.791	0.303948	0.185967	0.599859
12.2602	-49.6529	0.304482	0.187567	0.598877
12.2702	-49.5123	0.305022	0.189193	0.597883
12.2802	-49.3692	0.305567	0.190847	0.596878
12.2902	-49.2235	0.306116	0.192528	0.595861
12.3002	-49.075	0.306671	0.194238	0.594832
12.3102	-48.9238	0.307231	0.195978	0.59379
12.3202	-48.7697	0.307797	0.197748	0.592736
12.3302	-48.6126	0.308369	0.19955	0.591668
12.3402	-48.4524	0.308946	0.201385	0.590587
12.3502	-48.2889	0.309529	0.203254	0.589492
12.3602	-48.1221	0.310118	0.205158	0.588382
12.3702	-47.9518	0.310713	0.207097	0.587258
12.3802	-47.7778	0.311315	0.209075	0.586119
12.3902	-47.6001	0.311923	0.211091	0.584964
12.4002	-47.4185	0.312538	0.213147	0.583793
12.4102	-47.2328	0.31316	0.215244	0.582606
12.4202	-47.0428	0.313789	0.217385	0.581401
12.4302	-46.8485	0.314426	0.21957	0.580179
12.4402	-46.6496	0.31507	0.2218	0.578939
12.4502	-46.4459	0.315721	0.224079	0.57768
12.4602	-46.2373	0.316381	0.226407	0.576402
12.4702	-46.0235	0.317049	0.228787	0.575104
12.4802	-45.8043	0.317725	0.231219	0.573786
12.4902	-45.5794	0.318411	0.233707	0.572446
12.5002	-45.3488	0.319105	0.236252	0.571084
12.5102	-45.112	0.319809	0.238857	0.569699
12.5202	-44.8688	0.320522	0.241523	0.568291
12.5302	-44.619	0.321245	0.244254	0.566858
12.5402	-44.3622	0.321979	0.247051	0.565401
12.5502	-44.0982	0.322723	0.249918	0.563916
12.5602	-43.8266	0.323479	0.252857	0.562405
12.5702	-43.547	0.324246	0.255871	0.560866
12.5802	-43.2592	0.325024	0.258962	0.559297
12.5902	-42.9627	0.325815	0.262135	0.557698
12.6002	-42.657	0.326619	0.265393	0.556067
12.6102	-42.3419	0.327436	0.268738	0.554404
12.6202	-42.0168	0.328267	0.272175	0.552707
12.6302	-41.6813	0.329112	0.275708	0.550974
12.6402	-41.3349	0.329972	0.27934	0.549205
12.6502	-40.977	0.330847	0.283076	0.547397
12.6602	-40.607	0.331738	0.28692	0.54555
12.6702	-40.2245	0.332647	0.290877	0.543661
12.6802	-39.8287	0.333572	0.294952	0.54173
12.6902	-39.419	0.334516	0.299149	0.539754
12.7002	-38.9947	0.335478	0.303475	0.537732
12.7102	-38.5552	0.33646	0.307934	0.535661
12.7202	-38.0995	0.337463	0.312532	0.533541
12.7302	-37.6269	0.338487	0.317276	0.531368
12.7402	-37.1366	0.339534	0.322172	0.529142
12.7502	-36.6276	0.340604	0.327227	0.526859
12.7602	-36.099	0.341699	0.332447	0.524519
12.7702	-35.5498	0.342819	0.33784	0.522119
12.7802	-34.979	0.343966	0.343412	0.519657
12.7902	-34.3854	0.345142	0.349173	0.517131
12.8002	-33.7679	0.346346	0.355129	0.514539
12.8102	-33.1253	0.347582	0.361289	0.511879
12.8202	-32.4564	0.34885	0.367662	0.50915
12.8302	-31.7598	0.350151	0.374257	0.50635
12.8402	-31.0342	0.351489	0.381081	0.503477
12.8502	-30.2783	0.352863	0.388144	0.50053
12.8602	-29.4905	0.354276	0.395456	0.497509
12.8702	-28.6695	0.35573	0.403025	0.494413
12.8802	-27.8137	0.357227	0.410861	0.491241
12.8902	-26.9216	0.358769	0.418971	0.487994
12.9002	-25.9917	0.360359	0.427366	0.484672
12.9102	-25.0226	0.361997	0.436053	0.481277
12.9202	-24.0127	0.363687	0.445041	0.47781
12.9302	-22.9606	0.365431	0.454335	0.474273
12.9402	-21.865	0.367232	0.463943	0.47067
12.9502	-20.7246	0.369091	0.47387	0.467003
12.9602	-19.5385	0.371013	0.484118	0.463278
12.9702	-18.3056	0.372998	0.494692	0.459497
12.9802	-17.0254	0.375051	0.50559	0.455667
12.9902	-15.6974	0.377172	0.516811	0.451793
13.0002	-14.3216	0.379366	0.528351	0.44788
13.0102	-12.8985	0.381635	0.540203	0.443935
13.0202	-11.4288	0.38398	0.552357	0.439963
13.0302	-9.91397	0.386405	0.5648	0.435971
13.0402	-8.35598	0.388912	0.577515	0.431964
13.0502	-6.7575	0.391502	0.590481	0.427949
13.0602	-5.1219	0.394176	0.603674	0.423932
13.0702	-3.45333	0.396938	0.617066	0.419916
13.0802	-1.75673	0.399787	0.630625	0.415907
13.0902	-0.0378453	0.402723	0.644315	0.41191
13.1002	1.6968	0.405749	0.658097	0.407928
13.1102	3.43994	0.408861	0.67193	0.403965
13.1202	5.18361	0.412061	0.685769	0.400023
13.1302	6.91932	0.415347	0.699568	0.396106
13.1402	8.63812	0.418715	0.71328	0.392216
13.1502	10.3308	0.422165	0.726857	0.388354
13.1602	11.988	0.425693	0.740252	0.384522
13.1702	13.6006	0.429294	0.75342	0.38072
13.1802	15.1595	0.432965	0.766317	0.376951
13.1902	16.6565	0.436701	0.778902	0.373214
13.2002	18.0836	0.440497	0.791139	0.36951
13.2102	19.4341	0.444347	0.802994	0.36584
13.2202	20.7019	0.448245	0.814439	0.362204
13.2302	21.8822	0.452185	0.82545	0.358602
13.2402	22.9711	0.45616	0.83601	0.355034
13.2502	23.966	0.460165	0.846103	0.3515
13.2602	24.8653	0.464193	0.855722	0.348
13.2702	25.6685	0.468238	0.864863	0.344534
13.2802	26.376	0.472292	0.873525	0.341101
13.2902	26.9893	0.476352	0.881713	0.337702
13.3002	27.5105	0.480409	0.889434	0.334337
13.3102	27.9422	0.48446	0.896699	0.331005
13.3202	28.2879	0.488499	0.90352	0.327705
13.3302	28.5512	0.492521	0.909913	0.324438
13.3402	28.736	0.496522	0.915894	0.321204
13.3502	28.8466	0.500497	0.92148	0.318002
13.3602	28.8873	0.504442	0.926691	0.314832
13.3702	28.8624	0.508355	0.931545	0.311693
13.3802	28.7762	0.512232	0.936061	0.308586
13.3902	28.6328	0.516069	0.940259	0.305509
13.4002	28.4364	0.519866	0.944156	0.302464
13.4102	28.1909	0.523619	0.947772	0.299449
13.4202	27.8999	0.527326	0.951124	0.296465
13.4302	27.5671	0.530986	0.954228	0.29351
13.4402	27.1957	0.534597	0.957101	0.290586
13.4502	26.7889	0.538159	0.959759	0.287691
13.4602	26.3497	0.541669	0.962216	0.284825
13.4702	25.8808	0.545127	0.964486	0.281988
13.4802	25.3848	0.548533	0.966581	0.27918
13.4902	24.8639	0.551886	0.968515	0.2764
13.5002	24.3205	0.555185	0.970297	0.273649
13.5102	23.7566	0.55843	0.971939	0.270925
13.5202	23.1741	0.561621	0.973451	0.26823
13.5302	22.5747	0.564758	0.974841	0.265561
13.5402	21.9601	0.567841	0.976118	0.262921
13.5502	21.3317	0.57087	0.977289	0.260307
13.5602	20.6911	0.573845	0.978362	0.25772
13.5702	20.0394	0.576766	0.979344	0.25516
13.5802	19.3779	0.579634	0.980239	0.252626
13.5902	18.7078	0.582449	0.981055	0.250118
13.6002	18.0299	0.585211	0.981795	0.247637
13.6102	17.3454	0.58792	0.982465	0.245181
13.6202	16.6551	0.590578	0.983069	0.242751
13.6302	15.9598	0.593184	0.983611	0.240346
13.6402	15.2604	0.59574	0.984093	0.237966
13.6502	14.5574	0.598245	0.98452	0.235612
13.6602	13.8517	0.6007	0.984895	0.233282
13.6702	13.1437	0.603106	0.985219	0.230977
13.6802	12.4342	0.605463	0.985495	0.228697
13.6902	11.7235	0.607772	0.985726	0.226441
13.7002	11.0123	0.610034	0.985914	0.224209
13.7102	10.3009	0.612249	0.986059	0.222002
13.7202	9.58983	0.614418	0.986163	0.219818
13.7302	8.87945	0.616541	0.986229	0.217658
13.7402	8.17012	0.618619	0.986257	0.215522
13.7502	7.46218	0.620652	0.986247	0.213409
13.7602	6.75593	0.622642	0.986202	0.21132
13.7702	6.05165	0.624589	0.986121	0.209254
13.7802	5.34961	0.626493	0.986005	0.207211
13.7902	4.65005	0.628356	0.985855	0.205191
13.8002	3.95317	0.630177	0.985671	0.203195
13.8102	3.25919	0.631957	0.985454	0.201221
13.8202	2.56827	0.633697	0.985203	0.19927
13.8302	1.88059	0.635398	0.984919	0.197342
13.8402	1.19627	0.63706	0.984602	0.195437
13.8502	0.515462	0.638684	0.984251	0.193554
13.8602	-0.161729	0.64027	0.983867	0.191694
13.8702	-0.835201	0.641819	0.983449	0.189856
13.8802	-1.50486	0.643332	0.982997	0.188041
13.8902	-2.17064	0.644809	0.982511	0.186248
13.9002	-2.83247	0.64625	0.98199	0.184477
13.9102	-3.49029	0.647656	0.981435	0.182729
13.9202	-4.14407	0.649028	0.980843	0.181003
13.9302	-4.79375	0.650366	0.980215	0.1793
13.9402	-5.43933	0.651671	0.97955	0.177618
13.9502	-6.08077	0.652943	0.978848	0.175959
13.9602	-6.71807	0.654183	0.978108	0.174322
13.9702	-7.35123	0.655391	0.977329	0.172708
13.9802	-7.98024	0.656568	0.976509	0.171116
13.9902	-8.60511	0.657714	0.975649	0.169546
14.0002	-9.22587	0.65883	0.974748	0.167998
14.0102	-9.84252	0.659916	0.973804	0.166472
14.0202	-10.4551	0.660972	0.972817	0.164969
14.0302	-11.0636	0.661999	0.971785	0.163488
14.0402	-11.6681	0.662998	0.970708	0.162029
14.0502	-12.2687	0.663969	0.969584	0.160593
14.0602	-12.8653	0.664912	0.968412	0.159179
14.0702	-13.458	0.665828	0.967191	0.157788
14.0802	-14.0469	0.666717	0.96592	0.156419
14.0902	-14.632	0.667579	0.964598	0.155072
14.1002	-15.2134	0.668415	0.963224	0.153748
14.1102	-15.7911	0.669225	0.961795	0.152446
14.1202	-16.3652	0.67001	0.960311	0.151167
14.1302	-16.9357	0.67077	0.958771	0.149911
14.1402	-17.5027	0.671506	0.957172	0.148677
14.1502	-18.0664	0.672217	0.955514	0.147466
14.1602	-18.6267	0.672904	0.953795	0.146277
14.1702	-19.1837	0.673567	0.952014	0.145112
14.1802	-19.7376	0.674207	0.950168	0.143968
14.1902	-20.2883	0.674824	0.948257	0.142848
14.2002	-20.836	0.675418	0.946279	0.141751
14.2102	-21.3808	0.675989	0.944232	0.140676
14.2202	-21.9227	0.676539	0.942115	0.139624
14.2302	-22.4619	0.677067	0.939925	0.138595
14.2402	-22.9983	0.677573	0.937661	0.137588
14.2502	-23.5322	0.678057	0.935322	0.136605
14.2602	-24.0636	0.678521	0.932905	0.135644
14.2702	-24.5926	0.678964	0.930409	0.134706
14.2802	-25.1194	0.679386	0.927831	0.133791
14.2902	-25.6439	0.679789	0.925171	0.132899
14.3002	-26.1664	0.680171	0.922425	0.132029
14.3102	-26.6869	0.680533	0.919591	0.131182
14.3202	-27.2056	0.680875	0.916669	0.130358
14.3302	-27.7225	0.681198	0.913656	0.129556
14.3402	-28.2379	0.681502	0.910548	0.128777
14.3502	-28.7517	0.681787	0.907346	0.12802
14.3602	-29.2642	0.682053	0.904045	0.127286
14.3702	-29.7755	0.682301	0.900645	0.126574
14.3802	-30.2857	0.68253	0.897142	0.125885
14.3902	-30.795	0.682741	0.893534	0.125218
14.4002	-31.3034	0.682934	0.88982	0.124573
14.4102	-31.8112	0.683109	0.885996	0.12395
14.4202	-32.3185	0.683266	0.882059	0.123349
14.4302	-32.8254	0.683406	0.878008	0.122769
14.4402	-33.3321	0.683528	0.87384	0.122212
14.4502	-33.8387	0.683633	0.869552	0.121676
14.4602	-34.3455	0.68372	0.865141	0.121162
14.4702	-34.8525	0.683791	0.860605	0.120669
14.4802	-35.3599	0.683845	0.85594	0.120198
14.4902	-35.868	0.683882	0.851144	0.119747
14.5002	-36.3768	0.683902	0.846214	0.119318
14.5102	-36.8865	0.683905	0.841147	0.11891
14.5202	-37.3974	0.683893	0.83594	0.118523
14.5302	-37.9095	0.683863	0.830588	0.118156
14.5402	-38.4231	0.683818	0.825091	0.11781
14.5502	-38.9383	0.683756	0.819443	0.117484
14.5602	-39.4553	0.683678	0.813642	0.117179
14.5702	-39.9742	0.683584	0.807684	0.116894
14.5802	-40.4953	0.683474	0.801566	0.116628
14.5902	-41.0187	0.683348	0.795285	0.116383
14.6002	-41.5445	0.683206	0.788836	0.116158
14.6102	-42.073	0.683048	0.782217	0.115952
14.6202	-42.6042	0.682875	0.775424	0.115766
14.6302	-43.1383	0.682686	0.768453	0.115599
14.6402	-43.6754	0.682481	0.7613	0.115451
14.6502	-44.2156	0.68226	0.753963	0.115323
14.6602	-44.7591	0.682024	0.746437	0.115214
14.6702	-45.3059	0.681772	0.73872	0.115124
14.6802	-45.8561	0.681505	0.730807	0.115052
14.6902	-46.4099	0.681223	0.722697	0.115
14.7002	-46.9671	0.680925	0.714384	0.114966
14.7102	-47.5279	0.680611	0.705868	0.114951
14.7202	-48.0922	0.680283	0.697145	0.114954
14.7302	-48.66	0.679939	0.688212	0.114975
14.7402	-49.2312	0.679579	0.679067	0.115015
14.7502	-49.8058	0.679205	0.66971	0.115074
14.7602	-50.3836	0.678815	0.660137	0.11515
14.7702	-50.9644	0.678411	0.650349	0.115245
14.7802	-51.5482	0.677991	0.640345	0.115358
14.7902	-52.1345	0.677557	0.630125	0.115489
14.8002	-52.7232	0.677108	0.61969	0.115638
14.8102	-53.3139	0.676644	0.609042	0.115805
14.8202	-53.9062	0.676165	0.598184	0.11599
14.8302	-54.4997	0.675672	0.587117	0.116193
14.8402	-55.094	0.675165	0.575847	0.116414
14.8502	-55.6885	0.674643	0.56438	0.116654
14.8602	-56.2826	0.674108	0.552721	0.116911
14.8702	-56.8759	0.673558	0.540878	0.117186
14.8802	-57.4675	0.672995	0.52886	0.11748
14.8902	-58.0568	0.672418	0.516677	0.117791
14.9002	-58.643	0.671829	0.504342	0.118121
14.9102	-59.2255	0.671226	0.491866	0.118469
14.9202	-59.8033	0.67061	0.479264	0.118835
14.9302	-60.3756	0.669982	0.466553	0.119218
14.9402	-60.9416	0.669341	0.453748	0.11962
14.9502	-61.5005	0.668689	0.440869	0.12004
14.9602	-62.0514	0.668025	0.427935	0.120478
14.9702	-62.5933	0.667349	0.414967	0.120934
14.9802	-63.1256	0.666663	0.401987	0.121407
14.9902	-63.6473	0.665966	0.389018	0.121899
15.0002	-64.1577	0.665259	0.376082	0.122407
15.0102	-64.6561	0.664541	0.363205	0.122933
15.0202	-65.1418	0.663815	0.350409	0.123477
15.0302	-65.6141	0.663079	0.33772	0.124037
15.0402	-66.0724	0.662334	0.325161	0.124614
15.0502	-66.5164	0.661581	0.312757	0.125207
15.0602	-66.9456	0.660819	0.30053	0.125816
15.0702	-67.3596	0.66005	0.288503	0.126441
15.0802	-67.7581	0.659274	0.276695	0.127081
15.0903	-68.1411	0.658491	0.265129	0.127736
15.1003	-68.5085	0.657702	0.25382	0.128406
15.1103	-68.8601	0.656907	0.242787	0.12909
15.1203	-69.1961	0.656106	0.232044	0.129787
15.1303	-69.5166	0.655299	0.221604	0.130497
15.1403	-69.8219	0.654488	0.211478	0.13122
15.1503	-70.1121	0.653672	0.201676	0.131955
15.1603	-70.3875	0.652851	0.192204	0.132701
15.1703	-70.6486	0.652027	0.183068	0.133458
15.1803	-70.8957	0.651199	0.174271	0.134226
15.1903	-71.1292	0.650368	0.165815	0.135004
15.2003	-71.3497	0.649533	0.1577	0.135791
15.2103	-71.5576	0.648696	0.149924	0.136587
15.2203	-71.7534	0.647857	0.142485	0.137392
15.2303	-71.9375	0.647015	0.135378	0.138204
15.2403	-72.1106	0.646171	0.128597	0.139024
15.2503	-72.2731	0.645325	0.122137	0.139851
15.2603	-72.4255	0.644478	0.115989	0.140684
15.2703	-72.5684	0.64363	0.110145	0.141523
15.2803	-72.7021	0.64278	0.104597	0.142368
15.2903	-72.8273	0.641929	0.0993353	0.143219
15.3003	-72.9443	0.641077	0.09435	0.144074
15.3103	-73.0536	0.640225	0.0896311	0.144933
15.3203	-73.1557	0.639373	0.0851686	0.145797
15.3303	-73.2509	0.638519	0.080952	0.146665
15.3403	-73.3396	0.637666	0.0769709	0.147536
15.3503	-73.4223	0.636813	0.0732151	0.14841
15.3603	-73.4993	0.635959	0.0696744	0.149287
15.3703	-73.5709	0.635106	0.0663386	0.150167
15.3803	-73.6374	0.634253	0.0631979	0.151049
15.3903	-73.6992	0.633401	0.0602426	0.151933
15.4003	-73.7566	0.632548	0.0574633	0.152819
15.4103	-73.8098	0.631697	0.0548509	0.153707
15.4203	-73.859	0.630846	0.0523967	0.154596
15.4303	-73.9046	0.629995	0.050092	0.155487
15.4403	-73.9468	0.629146	0.0479288	0.156378
15.4503	-73.9857	0.628297	0.0458992	0.157271
15.4603	-74.0215	0.627449	0.0439956	0.158164
15.4703	-74.0545	0.626601	0.042211	0.159058
15.4803	-74.0849	0.625755	0.0405385	0.159952
15.4903	-74.1127	0.62491	0.0389715	0.160847
15.5003	-74.1382	0.624066	0.0375039	0.161742
15.5103	-74.1615	0.623223	0.0361297	0.162637
15.5203	-74.1828	0.622381	0.0348434	0.163532
15.5303	-74.202	0.62154	0.0336397	0.164427
15.5403	-74.2195	0.620701	0.0325136	0.165321
15.5503	-74.2352	0.619863	0.0314603	0.166216
15.5603	-74.2494	0.619026	0.0304755	0.16711
15.5703	-74.262	0.61819	0.0295548	0.168003
15.5803	-74.2732	0.617356	0.0286943	0.168896
15.5903	-74.2831	0.616523	0.0278902	0.169788
15.6003	-74.2917	0.615692	0.0271391	0.17068
15.6103	-74.2991	0.614861	0.0264376	0.171571
15.6203	-74.3055	0.614033	0.0257825	0.172461
15.6303	-74.3108	0.613205	0.025171	0.17335
15.6403	-74.3151	0.612379	0.0246003	0.174239
15.6503	-74.3184	0.611555	0.0240678	0.175126
15.6603	-74.3209	0.610732	0.0235711	0.176012
15.6703	-74.3226	0.609911	0.0231078	0.176898
15.6803	-74.3235	0.609091	0.0226759	0.177782
15.6903	-74.3237	0.608273	0.0222733	0.178665
15.7003	-74.3232	0.607456	0.0218982	0.179547
15.7103	-74.322	0.606641	0.0215488	0.180428
15.7203	-74.3202	0.605827	0.0212235	0.181308
15.7303	-74.3178	0.605015	0.0209206	0.182186
15.7403	-74.3149	0.604204	0.0206389	0.183063
15.7503	-74.3114	0.603395	0.0203768	0.183939
15.7603	-74.3075	0.602588	0.0201332	0.184814
15.7703	-74.3031	0.601782	0.0199068	0.185687
15.7803	-74.2982	0.600978	0.0196965	0.186559
15.7903	-74.293	0.600175	0.0195014	0.187429
15.8003	-74.2873	0.599374	0.0193204	0.188298
